set C :=C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 ;
set P :=FO1 FO2 FO3 FO4 FO5 FO6 FO7 FO8 FO9 FO10 FO11 FO12 FO13 FO14 FO15 FO16 ;
set F :=1165 1432 1698 1843 1987 2135 2421 2600 2828 2972 3072 3250 3386 3571 3708 3984 4217 4461 4699 4858 5059 5172 5307 5531 5715 6005 6289 6522 6759 6942 7023 7398 7509 7961 8324 8456 8838 9122 9456 9785 ;

param: origin dest dep arr :=
[1165] SCR SDG 429 519
[1432] BER UCL 432 492
[1698] DAV BER 444 474
[1843] SDG BER 453 543
[1987] UCL SDG 471 501
[2135] BER UCL 485 545
[2421] UCL SDG 499 529
[2600] BER DAV 540 570
[2828] SCR DAV 552 582
[2972] UCL SDG 583 613
[3072] SDG SCR 597 687
[3250] SDG UCL 603 633
[3386] SDG SCR 630 720
[3571] BER DAV 647 677
[3708] DAV BER 660 690
[3984] UCL BER 670 730
[4217] UCL BER 743 803
[4461] SDG UCL 748 778
[4699] SCR BER 750 780
[4858] DAV SCR 780 810
[5059] BER SCR 780 810
[5172] DAV SDG 790 910
[5307] BER DAV 801 831
[5531] UCL BER 847 907
[5715] SCR BER 861 891
[6005] BER UCL 870 930
[6289] BER DAV 898 928
[6522] SCR BER 900 930
[6759] DAV UCL 920 1010
[6942] SCR UCL 957 1017
[7023] SDG SCR 977 1067
[7398] BER SCR 979 1009
[7509] UCL SDG 993 1023
[7961] BER UCL 999 1059
[8324] BER DAV 1023 1053
[8456] DAV UCL 1043 1133
[8838] UCL BER 1080 1140
[9122] UCL SDG 1085 1110
[9456] SDG SCR 1089 1179
[9785] SCR BER 1101 1131
;

param capPos0 :=
[1843, C11] 232
[1843, C12] 293
[1843, C13] 274
[1843, C14] 216
[1843, C15] 274
[1843, C16] 244
[1987, C1] 279
[1987, C2] 300
[1987, C3] 295
[1987, C4] 287
[1987, C5] 338
[1987, C6] 287
[1987, C7] 283
[1987, C8] 294
[1987, C9] 292
[1987, C10] 316
[1987, C11] 285
[1987, C12] 345
[1987, C13] 314
[1987, C14] 290
[1987, C15] 269
[1987, C16] 297
[2135, C1] 296
[2135, C2] 293
[2135, C3] 254
[2135, C4] 257
[2135, C5] 260
[2135, C6] 263
[2135, C7] 268
[2135, C8] 268
[2135, C9] 270
[2135, C10] 259
[2135, C11] 317
[2135, C12] 277
[2135, C13] 281
[2135, C14] 285
[2135, C15] 312
[2135, C16] 257
[2421, C1] 428
[2421, C2] 398
[2421, C3] 422
[2421, C4] 408
[2421, C5] 383
[2421, C6] 405
[2421, C7] 390
[2421, C8] 392
[2421, C9] 407
[2421, C10] 412
[2421, C11] 419
[2421, C12] 387
[2421, C13] 383
[2421, C14] 389
[2421, C15] 392
[2421, C16] 414
[2600, C1] 287
[2600, C2] 300
[2600, C3] 291
[2600, C4] 334
[2600, C5] 300
[2600, C6] 307
[2600, C7] 285
[2600, C8] 298
[2600, C9] 309
[2600, C10] 302
[2600, C11] 318
[2600, C12] 310
[2600, C13] 293
[2600, C14] 309
[2600, C15] 303
[2600, C16] 311
[2828, C1] 334
[2828, C2] 351
[2828, C3] 318
[2828, C4] 358
[2828, C5] 348
[2828, C6] 352
[2828, C7] 311
[2828, C8] 297
[2828, C9] 341
[2828, C10] 328
[2828, C11] 347
[2828, C12] 344
[2828, C13] 348
[2828, C14] 340
[2828, C15] 325
[2828, C16] 343
[2972, C1] 346
[2972, C2] 329
[2972, C3] 306
[2972, C4] 286
[2972, C5] 306
[2972, C6] 280
[2972, C7] 330
[2972, C8] 345
[2972, C9] 315
[2972, C10] 364
[2972, C11] 301
[2972, C12] 319
[2972, C13] 317
[2972, C14] 311
[2972, C15] 339
[2972, C16] 315
[3072, C1] 327
[3072, C2] 343
[3072, C3] 339
[3072, C4] 306
[3072, C5] 294
[3072, C6] 312
[3072, C7] 303
[3072, C8] 328
[3072, C9] 322
[3072, C10] 275
[3072, C11] 309
[3072, C12] 287
[3072, C13] 342
[3072, C14] 306
[3072, C15] 317
[3072, C16] 330
[3250, C1] 270
[3250, C2] 278
[3250, C3] 289
[3250, C4] 235
[3250, C5] 310
[3250, C6] 252
[3250, C7] 315
[3250, C8] 303
[3250, C9] 246
[3250, C10] 282
[3250, C11] 306
[3250, C12] 298
[3250, C13] 284
[3250, C14] 314
[3250, C15] 249
[3250, C16] 288
[3386, C1] 295
[3386, C2] 324
[3386, C3] 315
[3386, C4] 323
[3386, C5] 303
[3386, C6] 341
[3386, C7] 363
[3386, C8] 349
[3386, C9] 318
[3386, C10] 334
[3386, C11] 323
[3386, C12] 340
[3386, C13] 328
[3386, C14] 330
[3386, C15] 345
[3386, C16] 353
[3571, C1] 284
[3571, C2] 278
[3571, C3] 244
[3571, C4] 286
[3571, C5] 225
[3571, C6] 260
[3571, C7] 296
[3571, C8] 254
[3571, C9] 253
[3571, C10] 256
[3571, C11] 264
[3571, C12] 260
[3571, C13] 229
[3571, C14] 229
[3571, C15] 240
[3571, C16] 290
[3708, C1] 352
[3708, C2] 320
[3708, C3] 338
[3708, C4] 336
[3708, C5] 348
[3708, C6] 337
[3708, C7] 347
[3708, C8] 357
[3708, C9] 364
[3708, C10] 359
[3708, C11] 319
[3708, C12] 348
[3708, C13] 349
[3708, C14] 330
[3708, C15] 339
[3708, C16] 358
[3984, C1] 280
[3984, C2] 345
[3984, C3] 325
[3984, C4] 353
[3984, C5] 307
[3984, C6] 274
[3984, C7] 283
[3984, C8] 306
[3984, C9] 268
[3984, C10] 279
[3984, C11] 343
[3984, C12] 341
[3984, C13] 341
[3984, C14] 352
[3984, C15] 295
[3984, C16] 276
[4217, C1] 272
[4217, C2] 283
[4217, C3] 237
[4217, C4] 252
[4217, C5] 304
[4217, C6] 293
[4217, C7] 269
[4217, C8] 247
[4217, C9] 259
[4217, C10] 294
[4217, C11] 262
[4217, C12] 236
[4217, C13] 275
[4217, C14] 293
[4217, C15] 254
[4217, C16] 297
[4461, C1] 207
[4461, C2] 196
[4461, C3] 228
[4461, C4] 172
[4461, C5] 205
[4461, C6] 226
[4461, C7] 208
[4461, C8] 206
[4461, C9] 198
[4461, C10] 239
[4461, C11] 260
[4461, C12] 214
[4461, C13] 209
[4461, C14] 218
[4461, C15] 226
[4461, C16] 180
[4699, C1] 337
[4699, C2] 411
[4699, C3] 382
[4699, C4] 388
[4699, C5] 349
[4699, C6] 378
[4699, C7] 360
[4699, C8] 356
[4699, C9] 372
[4699, C10] 377
[4699, C11] 349
[4699, C12] 330
[4699, C13] 367
[4699, C14] 361
[4699, C15] 347
[4699, C16] 381
[4858, C1] 302
[4858, C2] 287
[4858, C3] 245
[4858, C4] 311
[4858, C5] 264
[4858, C6] 314
[4858, C7] 317
[4858, C8] 298
[4858, C9] 312
[4858, C10] 284
[4858, C11] 322
[4858, C12] 277
[4858, C13] 318
[4858, C14] 232
[4858, C15] 278
[4858, C16] 282
[5059, C1] 329
[5059, C2] 337
[5059, C3] 315
[5059, C4] 294
[5059, C5] 339
[5059, C6] 341
[5059, C7] 329
[5059, C8] 320
[5059, C9] 351
[5059, C10] 297
[5059, C11] 329
[5059, C12] 361
[5059, C13] 320
[5059, C14] 338
[5059, C15] 325
[5059, C16] 316
[5172, C1] 328
[5172, C2] 282
[5172, C3] 319
[5172, C4] 338
[5172, C5] 331
[5172, C6] 318
[5172, C7] 351
[5172, C8] 308
[5172, C9] 306
[5172, C10] 320
[5172, C11] 352
[5172, C12] 313
[5172, C13] 319
[5172, C14] 339
[5172, C15] 344
[5172, C16] 327
[5307, C1] 337
[5307, C2] 411
[5307, C3] 345
[5307, C4] 369
[5307, C5] 381
[5307, C6] 355
[5307, C7] 356
[5307, C8] 351
[5307, C9] 375
[5307, C10] 343
[5307, C11] 342
[5307, C12] 347
[5307, C13] 372
[5307, C14] 367
[5307, C15] 320
[5307, C16] 389
[5531, C1] 334
[5531, C2] 315
[5531, C3] 300
[5531, C4] 315
[5531, C5] 322
[5531, C6] 324
[5531, C7] 307
[5531, C8] 312
[5531, C9] 301
[5531, C10] 321
[5531, C11] 331
[5531, C12] 326
[5531, C13] 340
[5531, C14] 302
[5531, C15] 274
[5531, C16] 301
[5715, C1] 222
[5715, C2] 211
[5715, C3] 221
[5715, C4] 182
[5715, C5] 236
[5715, C6] 252
[5715, C7] 244
[5715, C8] 270
[5715, C9] 217
[5715, C10] 272
[5715, C11] 223
[5715, C12] 251
[5715, C13] 255
[5715, C14] 214
[5715, C15] 271
[5715, C16] 257
[6005, C1] 321
[6005, C2] 317
[6005, C3] 330
[6005, C4] 329
[6005, C5] 313
[6005, C6] 349
[6005, C7] 332
[6005, C8] 351
[6005, C9] 346
[6005, C10] 307
[6005, C11] 318
[6005, C12] 309
[6005, C13] 326
[6005, C14] 324
[6005, C15] 356
[6005, C16] 342
[6289, C1] 266
[6289, C2] 267
[6289, C3] 300
[6289, C4] 237
[6289, C5] 272
[6289, C6] 260
[6289, C7] 265
[6289, C8] 266
[6289, C9] 288
[6289, C10] 293
[6289, C11] 243
[6289, C12] 303
[6289, C13] 296
[6289, C14] 293
[6289, C15] 254
[6289, C16] 274
[6522, C1] 333
[6522, C2] 380
[6522, C3] 307
[6522, C4] 369
[6522, C5] 383
[6522, C6] 336
[6522, C7] 349
[6522, C8] 348
[6522, C9] 338
[6522, C10] 387
[6522, C11] 351
[6522, C12] 342
[6522, C13] 362
[6522, C14] 349
[6522, C15] 346
[6522, C16] 356
[6759, C1] 350
[6759, C2] 366
[6759, C3] 342
[6759, C4] 351
[6759, C5] 377
[6759, C6] 323
[6759, C7] 354
[6759, C8] 341
[6759, C9] 348
[6759, C10] 326
[6759, C11] 318
[6759, C12] 296
[6759, C13] 346
[6759, C14] 336
[6759, C15] 324
[6759, C16] 374
[6942, C1] 357
[6942, C2] 369
[6942, C3] 342
[6942, C4] 316
[6942, C5] 356
[6942, C6] 330
[6942, C7] 327
[6942, C8] 365
[6942, C9] 335
[6942, C10] 335
[6942, C11] 295
[6942, C12] 339
[6942, C13] 328
[6942, C14] 352
[6942, C15] 341
[6942, C16] 341
[7023, C1] 441
[7023, C2] 421
[7023, C3] 449
[7023, C4] 430
[7023, C5] 430
[7023, C6] 449
[7023, C7] 414
[7023, C8] 429
[7023, C9] 411
[7023, C10] 426
[7023, C11] 441
[7023, C12] 439
[7023, C13] 436
[7023, C14] 393
[7023, C15] 404
[7023, C16] 453
[7398, C1] 267
[7398, C2] 215
[7398, C3] 220
[7398, C4] 288
[7398, C5] 294
[7398, C6] 254
[7398, C7] 286
[7398, C8] 263
[7398, C9] 228
[7398, C10] 288
[7398, C11] 310
[7398, C12] 258
[7398, C13] 279
[7398, C14] 268
[7398, C15] 280
[7398, C16] 283
[7509, C1] 358
[7509, C2] 352
[7509, C3] 371
[7509, C4] 350
[7509, C5] 307
[7509, C6] 341
[7509, C7] 345
[7509, C8] 324
[7509, C9] 311
[7509, C10] 371
[7509, C11] 365
[7509, C12] 364
[7509, C13] 359
[7509, C14] 367
[7509, C15] 379
[7509, C16] 325
[7961, C1] 319
[7961, C2] 343
[7961, C3] 318
[7961, C4] 328
[7961, C5] 299
[7961, C6] 291
[7961, C7] 311
[7961, C8] 314
[7961, C9] 294
[7961, C10] 314
[7961, C11] 348
[7961, C12] 274
[7961, C13] 321
[7961, C14] 295
[7961, C15] 300
[7961, C16] 331
[8324, C1] 282
[8324, C2] 257
[8324, C3] 282
[8324, C4] 240
[8324, C5] 299
[8324, C6] 296
[8324, C7] 261
[8324, C8] 262
[8324, C9] 255
[8324, C10] 227
[8324, C11] 297
[8324, C12] 264
[8324, C13] 251
[8324, C14] 227
[8324, C15] 283
[8324, C16] 272
[8456, C1] 353
[8456, C2] 355
[8456, C3] 358
[8456, C4] 325
[8456, C5] 359
[8456, C6] 383
[8456, C7] 348
[8456, C8] 358
[8456, C9] 364
[8456, C10] 350
[8456, C11] 338
[8456, C12] 337
[8456, C13] 325
[8456, C14] 357
[8456, C15] 394
[8456, C16] 337
[8838, C1] 221
[8838, C2] 212
[8838, C3] 208
[8838, C4] 194
[8838, C5] 187
[8838, C6] 166
[8838, C7] 208
[8838, C8] 170
[8838, C9] 180
[8838, C10] 164
[8838, C11] 186
[8838, C12] 180
[8838, C13] 208
[8838, C14] 199
[8838, C15] 185
[8838, C16] 155
[9122, C1] 310
[9122, C2] 291
[9122, C3] 289
[9122, C4] 318
[9122, C5] 277
[9122, C6] 333
[9122, C7] 314
[9122, C8] 311
[9122, C9] 306
[9122, C10] 272
[9122, C11] 292
[9122, C12] 284
[9122, C13] 301
[9122, C14] 308
[9122, C15] 289
[9122, C16] 313
[9456, C1] 343
[9456, C2] 328
[9456, C3] 322
[9456, C4] 331
[9456, C5] 265
[9456, C6] 329
[9456, C7] 366
[9456, C8] 310
[9456, C9] 325
[9456, C10] 350
[9456, C11] 345
[9456, C12] 311
[9456, C13] 353
[9456, C14] 338
[9456, C15] 322
[9456, C16] 332
[9785, C1] 395
[9785, C2] 379
[9785, C3] 364
[9785, C4] 383
[9785, C5] 371
[9785, C6] 356
[9785, C7] 320
[9785, C8] 350
[9785, C9] 407
[9785, C10] 364
[9785, C11] 338
[9785, C12] 356
[9785, C13] 359
[9785, C14] 366
[9785, C15] 381
[9785, C16] 372
;

param foCost :=
[1165, FO1] 160
[1165, FO2] 173
[1165, FO3] 181
[1165, FO4] 159
[1165, FO5] 162
[1165, FO6] 179
[1165, FO7] 173
[1165, FO8] 180
[1165, FO9] 189
[1165, FO10] 151
[1165, FO11] 174
[1165, FO12] 171
[1165, FO13] 169
[1165, FO14] 173
[1165, FO15] 167
[1165, FO16] 181
[1432, FO1] 186
[1432, FO2] 177
[1432, FO3] 173
[1432, FO4] 157
[1432, FO5] 178
[1432, FO6] 168
[1432, FO7] 176
[1432, FO8] 160
[1432, FO9] 171
[1432, FO10] 171
[1432, FO11] 169
[1432, FO12] 169
[1432, FO13] 177
[1432, FO14] 160
[1432, FO15] 168
[1432, FO16] 156
[1698, FO1] 127
[1698, FO2] 142
[1698, FO3] 139
[1698, FO4] 141
[1698, FO5] 131
[1698, FO6] 147
[1698, FO7] 143
[1698, FO8] 138
[1698, FO9] 124
[1698, FO10] 148
[1698, FO11] 140
[1698, FO12] 124
[1698, FO13] 137
[1698, FO14] 135
[1698, FO15] 136
[1698, FO16] 129
[1843, FO1] 202
[1843, FO2] 186
[1843, FO3] 206
[1843, FO4] 205
[1843, FO5] 210
[1843, FO6] 211
[1843, FO7] 195
[1843, FO8] 208
[1843, FO9] 213
[1843, FO10] 222
[1843, FO11] 190
[1843, FO12] 198
[1843, FO13] 204
[1843, FO14] 232
[1843, FO15] 206
[1843, FO16] 217
[1987, FO1] 146
[1987, FO2] 141
[1987, FO3] 166
[1987, FO4] 153
[1987, FO5] 170
[1987, FO6] 154
[1987, FO7] 136
[1987, FO8] 173
[1987, FO9] 163
[1987, FO10] 152
[1987, FO11] 163
[1987, FO12] 160
[1987, FO13] 142
[1987, FO14] 164
[1987, FO15] 171
[1987, FO16] 156
[2135, FO1] 178
[2135, FO2] 179
[2135, FO3] 191
[2135, FO4] 180
[2135, FO5] 191
[2135, FO6] 188
[2135, FO7] 202
[2135, FO8] 185
[2135, FO9] 179
[2135, FO10] 191
[2135, FO11] 183
[2135, FO12] 187
[2135, FO13] 170
[2135, FO14] 186
[2135, FO15] 190
[2135, FO16] 177
[2421, FO1] 147
[2421, FO2] 140
[2421, FO3] 143
[2421, FO4] 143
[2421, FO5] 136
[2421, FO6] 124
[2421, FO7] 143
[2421, FO8] 101
[2421, FO9] 140
[2421, FO10] 133
[2421, FO11] 147
[2421, FO12] 139
[2421, FO13] 131
[2421, FO14] 153
[2421, FO15] 137
[2421, FO16] 127
[2600, FO1] 188
[2600, FO2] 192
[2600, FO3] 186
[2600, FO4] 203
[2600, FO5] 203
[2600, FO6] 210
[2600, FO7] 182
[2600, FO8] 186
[2600, FO9] 193
[2600, FO10] 183
[2600, FO11] 177
[2600, FO12] 197
[2600, FO13] 179
[2600, FO14] 188
[2600, FO15] 191
[2600, FO16] 209
[2828, FO1] 175
[2828, FO2] 197
[2828, FO3] 162
[2828, FO4] 188
[2828, FO5] 177
[2828, FO6] 167
[2828, FO7] 173
[2828, FO8] 165
[2828, FO9] 194
[2828, FO10] 175
[2828, FO11] 178
[2828, FO12] 160
[2828, FO13] 195
[2828, FO14] 185
[2828, FO15] 186
[2828, FO16] 193
[2972, FO1] 177
[2972, FO2] 175
[2972, FO3] 166
[2972, FO4] 153
[2972, FO5] 158
[2972, FO6] 169
[2972, FO7] 164
[2972, FO8] 172
[2972, FO9] 177
[2972, FO10] 169
[2972, FO11] 161
[2972, FO12] 160
[2972, FO13] 151
[2972, FO14] 171
[2972, FO15] 171
[2972, FO16] 173
[3072, FO1] 135
[3072, FO2] 149
[3072, FO3] 136
[3072, FO4] 115
[3072, FO5] 157
[3072, FO6] 138
[3072, FO7] 141
[3072, FO8] 124
[3072, FO9] 140
[3072, FO10] 145
[3072, FO11] 132
[3072, FO12] 130
[3072, FO13] 155
[3072, FO14] 149
[3072, FO15] 133
[3072, FO16] 141
[3250, FO1] 112
[3250, FO2] 107
[3250, FO3] 108
[3250, FO4] 136
[3250, FO5] 114
[3250, FO6] 126
[3250, FO7] 123
[3250, FO8] 118
[3250, FO9] 120
[3250, FO10] 104
[3250, FO11] 108
[3250, FO12] 128
[3250, FO13] 113
[3250, FO14] 117
[3250, FO15] 119
[3250, FO16] 101
[3386, FO1] 175
[3386, FO2] 199
[3386, FO3] 205
[3386, FO4] 195
[3386, FO5] 206
[3386, FO6] 174
[3386, FO7] 193
[3386, FO8] 201
[3386, FO9] 189
[3386, FO10] 191
[3386, FO11] 190
[3386, FO12] 214
[3386, FO13] 191
[3386, FO14] 201
[3386, FO15] 192
[3386, FO16] 199
[3571, FO1] 127
[3571, FO2] 141
[3571, FO3] 142
[3571, FO4] 150
[3571, FO5] 148
[3571, FO6] 128
[3571, FO7] 129
[3571, FO8] 132
[3571, FO9] 132
[3571, FO10] 140
[3571, FO11] 143
[3571, FO12] 114
[3571, FO13] 141
[3571, FO14] 151
[3571, FO15] 139
[3571, FO16] 121
[3708, FO1] 147
[3708, FO2] 150
[3708, FO3] 163
[3708, FO4] 144
[3708, FO5] 145
[3708, FO6] 132
[3708, FO7] 147
[3708, FO8] 143
[3708, FO9] 158
[3708, FO10] 140
[3708, FO11] 147
[3708, FO12] 134
[3708, FO13] 144
[3708, FO14] 155
[3708, FO15] 129
[3708, FO16] 153
[3984, FO1] 110
[3984, FO2] 116
[3984, FO3] 106
[3984, FO4] 112
[3984, FO5] 112
[3984, FO6] 111
[3984, FO7] 97
[3984, FO8] 96
[3984, FO9] 110
[3984, FO10] 123
[3984, FO11] 93
[3984, FO12] 111
[3984, FO13] 112
[3984, FO14] 101
[3984, FO15] 99
[3984, FO16] 103
[4217, FO1] 99
[4217, FO2] 110
[4217, FO3] 119
[4217, FO4] 107
[4217, FO5] 118
[4217, FO6] 110
[4217, FO7] 101
[4217, FO8] 123
[4217, FO9] 111
[4217, FO10] 98
[4217, FO11] 112
[4217, FO12] 85
[4217, FO13] 114
[4217, FO14] 114
[4217, FO15] 129
[4217, FO16] 114
[4461, FO1] 155
[4461, FO2] 143
[4461, FO3] 141
[4461, FO4] 153
[4461, FO5] 153
[4461, FO6] 155
[4461, FO7] 160
[4461, FO8] 157
[4461, FO9] 166
[4461, FO10] 144
[4461, FO11] 153
[4461, FO12] 162
[4461, FO13] 168
[4461, FO14] 150
[4461, FO15] 149
[4461, FO16] 161
[4699, FO1] 187
[4699, FO2] 215
[4699, FO3] 209
[4699, FO4] 188
[4699, FO5] 197
[4699, FO6] 175
[4699, FO7] 206
[4699, FO8] 210
[4699, FO9] 200
[4699, FO10] 199
[4699, FO11] 181
[4699, FO12] 200
[4699, FO13] 213
[4699, FO14] 205
[4699, FO15] 193
[4699, FO16] 193
[4858, FO1] 97
[4858, FO2] 124
[4858, FO3] 104
[4858, FO4] 109
[4858, FO5] 92
[4858, FO6] 86
[4858, FO7] 111
[4858, FO8] 92
[4858, FO9] 95
[4858, FO10] 88
[4858, FO11] 97
[4858, FO12] 93
[4858, FO13] 108
[4858, FO14] 104
[4858, FO15] 108
[4858, FO16] 107
[5059, FO1] 129
[5059, FO2] 107
[5059, FO3] 124
[5059, FO4] 121
[5059, FO5] 116
[5059, FO6] 114
[5059, FO7] 136
[5059, FO8] 121
[5059, FO9] 132
[5059, FO10] 134
[5059, FO11] 112
[5059, FO12] 118
[5059, FO13] 143
[5059, FO14] 125
[5059, FO15] 139
[5059, FO16] 151
[5172, FO1] 114
[5172, FO2] 74
[5172, FO3] 72
[5172, FO4] 102
[5172, FO5] 93
[5172, FO6] 102
[5172, FO7] 90
[5172, FO8] 102
[5172, FO9] 98
[5172, FO10] 97
[5172, FO11] 80
[5172, FO12] 99
[5172, FO13] 110
[5172, FO14] 95
[5172, FO15] 89
[5172, FO16] 105
[5307, FO1] 139
[5307, FO2] 139
[5307, FO3] 126
[5307, FO4] 139
[5307, FO5] 137
[5307, FO6] 142
[5307, FO7] 127
[5307, FO8] 149
[5307, FO9] 128
[5307, FO10] 120
[5307, FO11] 136
[5307, FO12] 138
[5307, FO13] 139
[5307, FO14] 118
[5307, FO15] 133
[5307, FO16] 135
[5531, FO1] 124
[5531, FO2] 103
[5531, FO3] 127
[5531, FO4] 106
[5531, FO5] 118
[5531, FO6] 112
[5531, FO7] 116
[5531, FO8] 111
[5531, FO9] 126
[5531, FO10] 117
[5531, FO11] 126
[5531, FO12] 121
[5531, FO13] 117
[5531, FO14] 140
[5531, FO15] 118
[5531, FO16] 105
[5715, FO1] 155
[5715, FO2] 149
[5715, FO3] 157
[5715, FO4] 144
[5715, FO5] 165
[5715, FO6] 168
[5715, FO7] 162
[5715, FO8] 158
[5715, FO9] 143
[5715, FO10] 161
[5715, FO11] 148
[5715, FO12] 140
[5715, FO13] 158
[5715, FO14] 153
[5715, FO15] 148
[5715, FO16] 153
[6005, FO1] 153
[6005, FO2] 142
[6005, FO3] 145
[6005, FO4] 156
[6005, FO5] 143
[6005, FO6] 143
[6005, FO7] 155
[6005, FO8] 163
[6005, FO9] 152
[6005, FO10] 160
[6005, FO11] 155
[6005, FO12] 150
[6005, FO13] 160
[6005, FO14] 161
[6005, FO15] 145
[6005, FO16] 140
[6289, FO1] 165
[6289, FO2] 165
[6289, FO3] 154
[6289, FO4] 162
[6289, FO5] 169
[6289, FO6] 168
[6289, FO7] 173
[6289, FO8] 162
[6289, FO9] 164
[6289, FO10] 171
[6289, FO11] 151
[6289, FO12] 157
[6289, FO13] 166
[6289, FO14] 154
[6289, FO15] 180
[6289, FO16] 155
[6522, FO1] 111
[6522, FO2] 128
[6522, FO3] 110
[6522, FO4] 115
[6522, FO5] 130
[6522, FO6] 104
[6522, FO7] 97
[6522, FO8] 119
[6522, FO9] 113
[6522, FO10] 113
[6522, FO11] 118
[6522, FO12] 133
[6522, FO13] 123
[6522, FO14] 127
[6522, FO15] 113
[6522, FO16] 120
[6759, FO1] 85
[6759, FO2] 77
[6759, FO3] 91
[6759, FO4] 70
[6759, FO5] 78
[6759, FO6] 88
[6759, FO7] 96
[6759, FO8] 110
[6759, FO9] 79
[6759, FO10] 91
[6759, FO11] 94
[6759, FO12] 92
[6759, FO13] 105
[6759, FO14] 91
[6759, FO15] 85
[6759, FO16] 80
[6942, FO1] 133
[6942, FO2] 147
[6942, FO3] 137
[6942, FO4] 130
[6942, FO5] 143
[6942, FO6] 141
[6942, FO7] 137
[6942, FO8] 145
[6942, FO9] 153
[6942, FO10] 125
[6942, FO11] 149
[6942, FO12] 140
[6942, FO13] 131
[6942, FO14] 144
[6942, FO15] 129
[6942, FO16] 134
[7023, FO1] 137
[7023, FO2] 122
[7023, FO3] 133
[7023, FO4] 104
[7023, FO5] 118
[7023, FO6] 119
[7023, FO7] 125
[7023, FO8] 113
[7023, FO9] 107
[7023, FO10] 113
[7023, FO11] 127
[7023, FO12] 103
[7023, FO13] 107
[7023, FO14] 105
[7023, FO15] 118
[7023, FO16] 111
[7398, FO1] 194
[7398, FO2] 199
[7398, FO3] 195
[7398, FO4] 189
[7398, FO5] 187
[7398, FO6] 190
[7398, FO7] 199
[7398, FO8] 206
[7398, FO9] 184
